Butter,/en/butter,1001
Ghee,/en/ghee,1003
Blue cheese,/en/blue_cheese,1004
Cheese,/en/cheese,1009
Caerphilly cheese,/en/caerphilly_cheese,1009
Curd,/en/curd,1012
Cottage cheese,/en/cottage_cheese,1016
Cream cheese,/en/cream_cheese,1017
Mozzarella,/en/mozzarella,1026
Parmigiano-Reggiano,/en/parmigiano_reggiano,1033
Pecorino Romano,/en/pecorino_romano,1038
Cream,/en/cream,1049
Whipped cream,/en/whipped_cream,1054
Eggnog,/en/eggnog,1057
Milk,/en/milk,1077
Buttermilk,/en/buttermilk,1088
Condensed milk,/en/condensed_milk,1095
Yogurt,/en/yoghurt,1116
Egg white,/en/egg_white,1124
Yolk,/en/egg_yolk,1125
Boiled egg,/en/boiled_eggs,1129
Century egg,/en/century_egg,1138
Oaxaca cheese,/en/oaxaca_cheese,1166
Allspice,/en/allspice,2001
Star Anise,/en/star_anise,2002
Ringwood,/en/aniseed_myrtle,2002
Bay leaf,/en/bay_leaf,2004
Curry tree,/en/curry_tree,2004
Caraway,/en/caraway,2005
Ajwain,/en/ajwain,2005
Cardamom,/en/cardamom,2006
Celery salt,/en/celery_salt,2007
Chervil,/en/chervil,2008
Chili powder,/en/chili_powder,2009
Cinnamon,/en/cinnamon,2010
Saigon Cinnamon,/en/saigon_cinnamon,2010
Clove,/en/clove,2011
Cumin,/en/cumin,2014
Black Cumin,/en/bunium_persicum,2014
Curry powder,/en/curry_powder,2015
Gulai,/en/curry,2015
Fennel Flower,/en/nigella_sativa,2018
Fenugreek,/en/fenugreek,2019
Panch phoron,/en/panch_phoron,2019
Garlic salt,/en/garlic_salt,2020
Marjoram,/en/marjoram,2023
Mustard seed,/en/mustard_seed,2024
Nutmeg,/en/nutmeg,2025
Oregano,/en/oregano,2027
Mexican mint,/en/plectranthus_amboinicus,2027
Paprika,/en/paprika,2028
Black pepper,/en/black_pepper,2030
Grains of Paradise,/en/aframomum_melegueta,2030
Grains of Selim,/en/grains_of_selim,2030
Lemon pepper,/en/lemon_pepper,2030
Long pepper,/en/long_pepper,2030
Cayenne pepper,/en/cayenne_pepper,2031
Sichuan pepper,/en/sichuan_pepper,2031
