Complete Wheat Bran Flakes,/en/complete_wheat_bran_flakes,,,
Bran Buds,/en/bran_buds,,,
Corn flakes,/en/corn_flakes,,,
All-Bran,/en/all-bran,,,
Low Fat Granola With Raisins,/en/low_fat_granola_with_raisins,,,
Low Fat Granola Without Raisins,/en/low_fat_granola_without_raisins,,,
Cracklin' Oat Bran,/en/cracklin_oat_bran,,,
Honey Smacks,/en/honey_smacks,,,
Kellog's Product 19 Cereal,/en/product_19,,,
Cocoa Krispies,/en/coco_pops,,,
Frosted Flakes,/en/frosted_flakes,,,
Corn Pops,/en/corn_pops,,,
Special K,/en/special_k,,,
Rice Krispies,/en/rice_krispies,,,
Raisin Bran,/en/raisin_bran,,,
Cheerios,/en/cheerios,,,
Count Chocula,/en/count_chocula,,,
Smorz,/en/smorz,,,
Frosted Cheerios,/en/frosted_cheerios,,,
Honey Nut Cheerios,/en/honey_nut_cheerios,,,
Lucky Charms,/en/lucky_charms,,,
Honey Nut Clusters,/en/honey_nut_clusters,,,
Kaboom,/wikipedia/en_title/Kaboom_$0028breakfast_cereal$0029,,,
Total Raisin Bran,/en/total_raisin_bran,,,
Boo Berry,/en/boo_berry,,,
Cookie Crisp,/en/cookie_crisp,,,
Reese's Puffs,/en/reeses_puffs,,,
French Toast Crunch,/en/french_toast_crunch,,,
Cap'n Crunch,/en/capn_crunch,,,
Cinnamon Crunch Crispix,/en/cinnamon_crunch_crispix,,,
MultiGrain Cheerios,/en/multigrain_cheerios,,,
Total,/wikipedia/en_title/Total_$0028breakfast_cereal$0029,,,
Total Corn Flakes,/en/total_corn_flakes,,,
Life,/wikipedia/en_title/Life_$0028cereal$0029,,,
Franken Berry,/en/franken_berry,,,
Weet-Bix,/en/weet-bix,,,
Crunchy Nut,/en/crunchy_nut_cornflakes,,,
Quinoa,/en/quinoa,,,
Chia,/en/salvia_hispanica,,,12006
Frijoles negros,/en/frijoles_negros,,,16014
White rice,/en/white_rice,,,Rice, white, medium-grain, cooked
Bullens pilsnerkorv,/en/bullens_pilsnerkorv,,,
Portuguese sweet bread,/en/portuguese_sweet_bread,,,
Nando's Perinaise,/en/nandos_perinaise,,,
Nando's 1/2 Chicken Breast,/en/nandos_1_2_chicken_breast,,,
Montreal melon,/en/montreal_melon,,,
Montreal-style bagel,/en/montreal-style_bagel,,,
Montreal hot dog,/en/montreal_hot_dog,,,
Sunshine Small Curd Cottage Cheese,/en/sunshine_small_curd_cottage_cheese,,,
Grandma's Homestyle Peanut Butter Cookies,/en/grandmas_homestyle_peanut_butter_cookies,,,
Nestle Semi-Sweet Morsels,/en/nestle_semi_sweet_morsels,,,
Potato,/en/potato,,,11362
Very Best Blueberry Cobbler,/en/very_best_blueberry_cobbler,,,
Egg,/wikipedia/es/Huevo_$0028alimento$0029,,,
English muffin,/en/english_muffin,,,18439
Chalupa,/en/chalupa,,,
Sainsbury's Bourbon Creams,/en/sainsburys_bourbon_creams,,,
Morrisons Quick Cook Pasta Shells,/en/morrisons_quick_cook_pasta_shells,,,
Buxton Natural Mineral Water,/en/buxton_natural_mineral_water,,,
Pork,/en/pork,,,10006
Pork belly,/en/pork_belly,,,10005
Pork chop,/en/pork_chop,,,10036
Bacon,/en/bacon,,,10123
Back bacon,/en/back_bacon,,,10130
Pork loin,/en/pork_loin,,,10218
Ham,/en/ham,,,10905
Alfalfa sprouts,/en/alfalfa_sprouts,,,11001
Amaranth,/en/amaranth,,,11003
Broadleaf arrowhead,/en/broadleaf_arrowhead,,,11005
Artichoke,/en/globe_artichoke,,,11007
Asparagus,/en/asparagus,,,11011
Momordica charantia,/en/bitter_melon,,,11024
Bamboo shoot,/wikipedia/es_id/1068657,,,11026
Green bean,/en/green_bean,,,11052
Beta vulgaris,/en/beet,,,11080
Beet Greens,/en/beet_greens,,,11086
Broccoli,/en/broccoli,,,11090
Rapini,/en/rapini,,,11096
Brussels sprout,/en/brussels_sprout,,,11098
Greater Burdock,/en/greater_burdock,,,11104
Cabbage,/en/cabbage,,,11109
Chinese cabbage,/en/chinese_cabbage,,,11119
Cardoon,/en/cardoon,,,11122
Carrot,/en/carrot,,,11124
Cassava,/en/cassava,,,11134
Cauliflower,/en/cauliflower,,,11135
Celeriac,/en/celeriac,,,11141
Celery,/en/celery,,,11143
Celtuce,/en/celtuce,,,11145
Chard,/en/chard,,,11147
Chayote,/en/chayote,,,11149
Chicory,/en/chicory,,,11152
Chives,/en/chives,,,11156
Collard greens,/en/collard_greens,,,11161
Coriander,/en/coriander,,,11165
Sweet corn,/en/sweetcorn,,,11167
Black-eyed pea,/en/black-eyed_pea,,,11191
Vigna unguiculata subsp. sesquipedalis,/en/yardlong_bean,,,11199
Garden cress,/en/garden_cress,,,11203
Cucumber,/en/cucumber,,,11205
Dandelion,/en/dandelion,,,11207
Eggplant,/en/aubergine,,,11209
Endive,/en/endive,,,11213
Garlic,/en/garlic,,,11215
Ginger,/en/ginger,,,11216
Calabash,/en/calabash,,,11218
Luffa,/en/luffa,,,11220
Kale,/en/kale,,,11233
Kohlrabi,/en/kohlrabi,,,11241
Leek,/en/leek,,,11246
Romaine lettuce,/en/romaine_lettuce,,,11251
Iceburg Lettuce,/en/iceburg_lettuce,,,11252
Lettuce,/en/lettuce,,,11253
Sacred Lotus,/en/nelumbo_nucifera,,,11254
Red Leaf Lettuce,/en/red_leaf_lettuce,,,11257
Edible mushroom,/en/edible_mushroom,,,11260
Shiitake,/en/shiitake,,,11268
Mustard Greens,/en/brassica_juncea,,,11270
Tetragonia,/en/tetragonia,,,11276
Okra,/en/abelmoschus_esculentus,,,11278
Onion,/en/onion,,,11282
Scallion,/en/scallion,,,11291
Welsh onion,/en/welsh_onion,,,11293
Fried onion,/en/fried_onion,,,11295
Parsley,/en/parsley,,,11297
Parsnip,/en/parsnip,,,11298
Pea,/en/pea,,,11304
Bell pepper,/en/bell_pepper,,,11333
Pumpkin,/en/pumpkin,,,11422
Common Purslane,/en/common_purslane,,,11427
Radish,/en/radish,,,11429
Rutabaga,/en/rutabaga,,,11435
Purple Salsify,/en/purple_salsify,,,11437
Sauerkraut,/en/sauerkraut,,,11439
Seaweed,/en/seaweed,,,11445
Laver,/en/laver,,,11446
Soybean,/en/soybean,,,11450
Spinach,/en/spinach,,,11457
Zucchini,/en/zucchini,,,11477
Acorn squash,/en/acorn_squash,,,11482
Butternut squash,/en/butternut_squash,,,11485
Water spinach,/en/ipomoea_aquatica,,,11503
Sweet potato,/en/sweet_potato,,,11507
Taro,/en/taro,,,11518
Turnip,/en/turnip,,,11564
Turnip greens,/en/turnip_greens,,,11568
Watercress,/en/watercress,,,11591
Yam,/wikipedia/en_title/Yam_$0028vegetable$0029,,,
J’cama,/en/jicama,,,11603
Summer squash,/en/summer_squash,,,11641
Winter squash,/en/winter_squash,,,11643
Wakame,/en/wakame,,,11669
Shallot,/en/shallot,,,11677
Tomato,/en/tomato,,,11695
Chrysanths,/en/chrysanthemum,,,11698
Chili pepper,/en/chili_pepper,,,11819
Tomato juice,/en/tomato_juice,,,11886
Maize,/en/maize,,,11900
Mashed potato,/en/mashed_potato,,,11934
Ketchup,/en/ketchup,,,11935
Radicchio,/en/radicchio,,,11952
Tomatillo,/en/tomatillo,,,11954
Fennel,/en/fennel,,,11957
Arugula,/en/arugula,,,11959
Nopal,/en/nopal,,,11963
Broccoflower,/en/broccoflower,,,11965
Lemongrass,/en/cymbopogon,,,11972
Serrano pepper,/en/serrano_pepper,,,11977
Jalape–o,/en/jalapeno,,,11979
Pasilla,/en/pasilla,,,11982
Epazote,/en/epazote,,,11984
Malabar spinach,/en/basella_alba,,,11986
Wasabi,/en/wasabi,,,11990
Fiddlehead fern,/en/fiddlehead,,,11995
Safflower,/en/safflower,,,12021
Sesame seed,/authority/us/gov/hhs/fda/srs-unii/7Y1255HVXR,,,
Sunflower seed,/en/sunflower_seed,,,12036
Almond,/en/almond,,,12061
Brazil nut,/en/brazil_nut,,,12078
Cashew,/en/cashew,,,12087
Chestnut,/en/chestnut,,,12097
Coconut,/en/coconut,,,12104
Coconut cream,/en/coconut_cream,,,12115
Coconut milk,/en/coconut_milk,,,12117
Maidenhair Tree,/en/ginkgo,,,12127
Pecan,/en/pecan,,,12142
Canarium ovatum,/en/pili_nut,,,12145
Pistachio,/en/pistachio,,,12151
Walnut,/en/walnut,,,12154
Tahini,/en/tahini,,,12198
Flax,/en/flax,,,12220
Pumpkin seed,/en/pepitas,,,12516
Short ribs,/en/short_ribs,,,13147
Beef tongue,/en/beef_tongue,,,13339
Corned beef,/en/corned_beef,,,13346
Ground beef,/en/ground_beef,,,13498
Beef,/en/beef,,,13795
Beef tenderloin,/en/beef_tenderloin,,,13917
Sirloin steak,/en/sirloin_steak,,,13929
Beer,/en/beer,,,14003
Crème de menthe,/en/creme_de_menthe,,,14034
Gin,/en/gin,,,14049
Rum,/en/rum,,,14050
Vodka,/en/vodka,,,14051
Wine,/quotationsbook/subject/wine,,,14084
Red Wine,/en/red_wine,,,14096
White Wine,/en/white_wine,,,14106
Cream soda,/en/cream_soda,,,14130
Ginger ale,/en/ginger_ale,,,14136
Lemon-lime,/en/lemon-lime,,,14144
Carbonated orange drink,/en/carbonated_orange_drink,,,14150
Burgundy wine,/en/burgundy_wine,,,14152
Red Bull,/en/red_bull,,,14154
Tonic water,/en/tonic_water,,,14155
Coffee,/en/coffee,,,14209
Fruit punch,/m/05n990v,,,14268
Lemonade,/en/lemonade,,,14288
Black tea,/en/black_tea,,,14355
Soft drink,/en/soft_drink,,,14400
Coffee liqueur,/en/coffee_liqueur,,,14414
Chamaemelum nobile,/en/roman_chamomile,,,14545
Carp,/en/carp,,,15008
Caviar,/en/caviar,,,15012
Cod,/en/cod,,,15015
Eel,/en/eel,,,15025
Flounder,/en/flounder,,,15028
Haddock,/en/haddock,,,15033
Herring,/en/herring,,,15039
Kipper,/en/kipper,,,15042
Spanish  Mackerel,/en/spanish_mackerel,,,15051
Roe,/en/roe,,,15072
Sardine,/en/sardine,,,15088
Sea Bass,/en/sea_bass,,,15091
Sturgeon,/en/sturgeon,,,15104
Tilefish,/en/tilefish,,,15112
Tuna,/en/tuna,,,15123
King crab,/en/king_crab,,,15136
Chesapeake blue crab,/en/blue_crab,,,15139
Crab,/en/crab,,,15144
Crayfish,/en/crayfish,,,15145
Lobster,/en/lobster,,,15147
Spiny lobster,/en/spiny_lobster,,,15154
Abalone,/en/abalone,,,15155
Dried Abalone,/en/dried_abalone,,,15156
Short Neck  Clams,/en/short_neck_clams,,,15157
Cuttlefish,/en/cuttlefish,,,15163
Octopus,/en/octopus,,,15166
Oyster,/en/oyster,,,15171
Scallop,/en/scallop,,,15172
Squid,/biology/itis/82367,,,15175
Salmon,/en/salmon,,,15236
Bean,/en/bean,,,16006
Kidney beans,/en/kidney_beans,,,16027
Navy Beans,/en/navy_beans,,,16037
Broad bean,/en/vicia_faba,,,16052
